texto,etiqueta
¿Por qué descartaste la opción anterior tan rápido?,Memoria de trabajo
Sustituye ese verbo por uno más dinámico.,Memoria de trabajo
"Ayer estuvimos revisando unos errores de código, ¿los guardaste?",Memoria episódica
¿Cuál es el animal más rápido del mundo?,Memoria semántica
¿Qué significa la sigla que pusiste ahí?,Memoria de trabajo
"A ver, reescribe el bloque anterior sin tecnicismos.",Memoria de trabajo
"Esa última frase sonó un poco repetitiva, cámbiala.",Memoria de trabajo
"Ayer me diste una solución temporal, ahora dame la definitiva.",Memoria episódica
"Esta respuesta quedó genial, no le muevas nada.",Memoria de trabajo
¿Te acuerdas de la canción de la que te hablé hace días?,Memoria episódica
¿Cuál es la definición formal de aprendizaje supervisado?,Memoria semántica
"No me gusta ese adjetivo, busca otro.",Memoria de trabajo
¿Qué me dijiste el mes pasado sobre la inversión en criptos?,Memoria episódica
Mi nombre es Carlos y me dedico al análisis de datos.,Memoria semántica
¿Puedes expandir un poco más el cuarto punto?,Memoria de trabajo
Acuérdate de que me estreso fácilmente con agendas muy llenas.,Memoria semántica
Escribe un correo tomando en cuenta que mi empresa se llama TechSolutions.,Memoria semántica
¿Te acuerdas de la rutina de ejercicio que me diste hace días?,Memoria episódica
¿Qué me sugeriste ayer para solucionar el conflicto con mi socio?,Memoria episódica
¿Cuál es el teorema de Pitágoras?,Memoria semántica
"Ayer me diste una lista de tareas, ¿cuál era la primera?",Memoria episódica
No entiendo la línea tres de la función anterior.,Memoria de trabajo
¿Qué me recomendaste el mes pasado para mejorar mi postura?,Memoria episódica
"A partir de ahora, recuerda que prefiero los textos cortos y al grano.",Memoria semántica
Escribe de nuevo el cierre pero con más entusiasmo.,Memoria de trabajo
Ilústrame eso con una metáfora simple.,Memoria de trabajo
"Ayer se me olvidó guardar los consejos que me diste, repítelos.",Memoria episódica
¿Te acuerdas del esquema de base de datos de la semana pasada?,Memoria episódica
Quédate solo con la segunda alternativa.,Memoria de trabajo
¿Cómo se calcula el área de un círculo?,Memoria semántica
¿Cuál era el segundo beneficio que listaste recién?,Memoria de trabajo
¿De cuál de los dos puntos estás hablando ahora?,Memoria de trabajo
"El mes pasado me diste unos consejos para dormir mejor, recuérdamelos.",Memoria episódica
"Ayer me ayudaste a estudiar, hazme preguntas de ese mismo tema.",Memoria episódica
¿En qué año terminó la Segunda Guerra Mundial?,Memoria semántica
Revisa la historia que estábamos creando juntos hace unos días.,Memoria episódica
¿Qué significa el término 'statu quo'?,Memoria semántica
Recuerda que mi sistema operativo principal es Linux.,Memoria semántica
¿Qué fue lo que cambiamos en el diseño hace tres días?,Memoria episódica
Corrige el error de dedo que tuviste ahí.,Memoria de trabajo
"Quita el tercer párrafo, no aporta mucho.",Memoria de trabajo
Ten presente que trabajo en horario nocturno para tus recomendaciones.,Memoria semántica
¿Cómo se define el concepto de sesgo cognitivo?,Memoria semántica
Cambia la última palabra por algo menos formal.,Memoria de trabajo
Usa un tono más cercano en este párrafo.,Memoria de trabajo
Mejor cambia el orden de los factores ahí.,Memoria de trabajo
Busca los nombres de personajes que inventamos la semana pasada.,Memoria episódica
¿Cuál es la diferencia entre mitigación y adaptación al cambio climático?,Memoria semántica
Añade un ejemplo práctico a esa explicación.,Memoria de trabajo
¿Cuál es el punto de ebullición del agua a nivel del mar?,Memoria semántica
¿Cuál es la capital de Francia?,Memoria semántica
"Oye, borra el código de arriba y hazlo de nuevo.",Memoria de trabajo
"Hace un mes planeamos un menú semanal, vuélvemelo a mostrar.",Memoria episódica
¿Qué fue lo último que decidimos en la conversación de hace tres días?,Memoria episódica
¿Cuál es la función principal de los glóbulos rojos?,Memoria semántica
¿Te acuerdas del resumen que hicimos la semana pasada?,Memoria episódica
¿Qué países conforman la Unión Europea actualmente?,Memoria semántica
Haz un resumen ejecutivo de lo que pusiste arriba.,Memoria de trabajo
¿Quién pintó la Mona Lisa?,Memoria semántica
Busca el poema que escribimos juntos el fin de semana pasado.,Memoria episódica
Recuerda que vivo en una zona con clima templado todo el año.,Memoria semántica
¿Cuál era el objetivo principal que fijamos en nuestra última sesión?,Memoria episódica
¿Qué me habías dicho el mes pasado sobre ahorrar en impuestos?,Memoria episódica
¿Te acuerdas del ejercicio de meditación de ayer?,Memoria episódica
Checa si el último dato que pusiste es correcto.,Memoria de trabajo
Usa la misma estructura que definimos en nuestra última charla.,Memoria episódica
"Hace un mes me diste una lista de vocabulario en alemán, muéstramela.",Memoria episódica
¿Puedes desglosar los costos que me diste recién?,Memoria de trabajo
Busca los apuntes de la reunión virtual de ayer.,Memoria episódica
¿Cuál es la distancia exacta entre la Tierra y la Luna?,Memoria semántica
Escribe los consejos pensando en que mi presupuesto mensual es limitado.,Memoria semántica
¿Puedes formatear el texto anterior en una tabla?,Memoria de trabajo
¿Te acuerdas del itinerario de viaje que armamos hace tiempo?,Memoria episódica
Ten presente que mi meta este año es aprender a programar en Rust.,Memoria semántica
¿Qué es la arquitectura Transformer en procesamiento de lenguaje natural?,Memoria semántica
Traduce esa última línea al francés.,Memoria de trabajo
¿Qué es la inflación económica y cómo se mide?,Memoria semántica
¿Puedes repetir eso?,Memoria de trabajo
"El mes pasado hablamos de una idea para un negocio, búscala.",Memoria episódica
Ten en cuenta siempre que prefiero el diseño minimalista.,Memoria semántica
Explícame la teoría de la relatividad de forma sencilla.,Memoria semántica
¿Te acuerdas del esquema que borramos en la sesión anterior?,Memoria episódica
Recuerda que sufro de intolerancia a la lactosa en todas mis recetas.,Memoria semántica
"La semana pasada analizamos unas métricas, ¿cuál era el porcentaje final?",Memoria episódica
"Hace unos días me ayudaste a redactar un correo, muéstramelo.",Memoria episódica
¿Qué es el sobreajuste o overfitting en Machine Learning?,Memoria semántica
Configura las respuestas asumiendo que soy un estudiante universitario.,Memoria semántica
"No, así no, como dijiste antes de cambiarlo.",Memoria de trabajo
¿Qué fue lo que te conté ayer sobre mi trabajo?,Memoria episódica
Redacta esto usando mi tono habitual de comunicación corporativa.,Memoria semántica
¿Ese ejemplo aplica al caso que estamos viendo?,Memoria de trabajo
Retomemos la planeación del evento que dejamos a medias la semana pasada.,Memoria episódica
¿Cómo funciona el algoritmo de descenso de gradiente?,Memoria semántica
